Comment,Designator,Footprint,LCSC
USB_C_Receptacle_USB2.0_16P,J10,USB_C_Receptacle_GCT_USB4085,
~,U8,D24V10F3,
R,R6,R_0805_2012Metric,
Conn_01x01,J8,TestPoint_Pad_1.0x1.0mm,
MCP2515-xST,U10,TSSOP-20_4.4x6.5mm_P0.65mm,
R,R8,R_0805_2012Metric,
Crystal_GND24_Small,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,
D,D9,D_0805_2012Metric,
MCP2515-xST,U11,TSSOP-20_4.4x6.5mm_P0.65mm,
22pF,C1,C_0805_2012Metric,
R,R3,R_0805_2012Metric,
100nF,C5,C_0603_1608Metric,
R,R4,R_0805_2012Metric,
10uF,C13,C_0805_2012Metric,
R,R10,R_0805_2012Metric,
TJA1050,U7,SOT96-1,
100nF,C8,C_0603_1608Metric,
CAP1188-1-CP-TR,U4,QFN50P400X400X90-25N,
ESP32-C6-MINI-1/U,U9,ESP32-C6-MINI-1,
5.1k,R16,R_0805_2012Metric,
100uF,C15,C_1206_3216Metric,
R,R11,R_0805_2012Metric,
SD05_SOD323,D11,D_SOD-523,
100nF,C11,C_0603_1608Metric,
100nF,C9,C_0603_1608Metric,
Conn_01x01,J7,TestPoint_Pad_1.0x1.0mm,
~,U2,SH1122,
Conn_01x01,J9,TestPoint_Pad_1.0x1.0mm,
R,R5,R_0805_2012Metric,
22pF,C4,C_0805_2012Metric,
100nF,C10,C_0603_1608Metric,
22pF,C3,C_0805_2012Metric,
TJA1050,U6,SOT96-1,
100uF,C16,C_1206_3216Metric,
1N5819HW-7-F,D10,D_SOD-123,
Conn_01x01,J6,TestPoint_Pad_1.0x1.0mm,
SD05_SOD323,D12,D_SOD-523,
R,R1,R_0805_2012Metric,
5.1k,R17,R_0805_2012Metric,
Fuse_Small,F1,Fuseholder_Littelfuse_Nano2_154x,
10uF,C12,C_0805_2012Metric,
STS521050B331-EA,D13,D_SOD-523,
Conn_01x01,J5,TestPoint_Pad_1.0x1.0mm,
10uF,C14,C_0805_2012Metric,
BC817,Q1,SOT-323_SC-70,
R,R12,R_0805_2012Metric,
R,R13,R_0805_2012Metric,
120R,R14,R_0805_2012Metric,
MEM2085-00-115-00-A_REV0.2,J11,GCT_MEM2085-00-115-00-A_REV0.2,
R,R9,R_0805_2012Metric,
Crystal_GND24_Small,Y4,Crystal_SMD_3225-4Pin_3.2x2.5mm,
100nF,C7,C_0603_1608Metric,
R,R2,R_0805_2012Metric,
100nF,C6,C_0603_1608Metric,
~,U1,SH1122,
R,R7,R_0805_2012Metric,
22pF,C2,C_0805_2012Metric,
120R,R15,R_0805_2012Metric,
LED,D5,LED_QBLP617-IW,
LED,D3,LED_QBLP617-IW,
LED,D6,LED_QBLP617-IW,
Conn_01x01,J4,TestPoint_Pad_1.0x1.0mm,
Conn_01x01,J3,TestPoint_Pad_1.0x1.0mm,
Conn_01x01,J2,TestPoint_Pad_1.0x1.0mm,
LED,D4,LED_QBLP617-IW,
LED,D2,LED_QBLP617-IW,
LED,D8,LED_QBLP617-IW,
LED,D7,LED_QBLP617-IW,
LED,D1,LED_QBLP617-IW,
LED,D14,LED_QBLP617-IW,
Conn_01x01,J14,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
Conn_01x01,J12,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
R,R18,R_0805_2012Metric,
Conn_01x01,J15,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
10uF,C17,C_0805_2012Metric,
Conn_01x01,J16,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
R,R19,R_0805_2012Metric,
Conn_01x01,J17,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
Conn_01x01,J18,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
Conn_01x01,J13,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
