Comment,Designator,Footprint,LCSC
Conn_01x01,J15,MountingHole_2.2mm_M2_DIN965_Pad,
Conn_01x01,J14,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01,J13,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01,J12,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01,J11,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01,J10,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01,J9,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01,J8,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01,J7,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01,J6,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01,J5,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01,J4,TestPoint_Pad_D4.0mm,
Conn_01x01,J3,TestPoint_Pad_D4.0mm,
Conn_01x01,J2,TestPoint_Pad_D4.0mm,
Conn_01x01,J1,TestPoint_Pad_D4.0mm,
LED,D4,LED_QBLP617-IW,
LED,D3,LED_QBLP617-IW,
LED,D2,LED_QBLP617-IW,
LED,D1,LED_QBLP617-IW,
Conn_01x01,J16,MountingHole_2.2mm_M2_DIN965_Pad,
